Date,Market,Asia,Europe,Global
1999-12-31,C1,0.5315584295040376,0.180048059569114,0.2883935109268484
1999-12-31,DM,0.20333496728420236,0.4974086998859869,0.29925633282981073
1999-12-31,EM,0.3801555055780379,0.2689882350421383,0.3508562593798238
1999-12-31,FM,0.1971727150193799,0.5056130191893379,0.2972142657912822
2000-12-29,C1,0.5336883063690354,0.1799600856111439,0.2863516080198207
2000-12-29,DM,0.22029299217061177,0.467748797375487,0.3119582104539012
2000-12-29,EM,0.35704071853115776,0.253017355179946,0.38994192628889623
2000-12-29,FM,0.20535988622337858,0.4657321562985329,0.32890795747808854
2001-12-31,C1,0.531365646719018,0.1834476637482324,0.28518668953274967
2001-12-31,DM,0.2090584272249404,0.49050799773702336,0.30043357503803625
2001-12-31,EM,0.35608931173337244,0.26714345618689056,0.376767232079737
2001-12-31,FM,0.20544327176403743,0.49157035682466077,0.3029863714113018
2002-12-31,C1,0.525995537827057,0.17931666062286034,0.2946878015500827
2002-12-31,DM,0.2064728869068143,0.5058659113803358,0.2876612017128499
2002-12-31,EM,0.3711021675254951,0.26871327568339887,0.36018455679110606
2002-12-31,FM,0.20527330625352652,0.5125188525113892,0.28220784123508424
2003-12-31,C1,0.5081893471127785,0.20108369277560983,0.2907269601116117
2003-12-31,DM,0.2098239413869654,0.5239352064580282,0.2662408521550065
2003-12-31,EM,0.3819603444156847,0.2852575233301006,0.3327821322542146
2003-12-31,FM,0.16014617395546032,0.5430839734043218,0.29676985264021793
2004-12-31,C1,0.4982310406000634,0.20622963757411417,0.29553932182582243
2004-12-31,DM,0.21675636026374354,0.5242693097308656,0.2589743300053909
2004-12-31,EM,0.38065129374880374,0.29589114010869927,0.32345756614249693
2004-12-31,FM,0.17962260573461547,0.5553478108308758,0.2650295834345088
2005-12-30,C1,0.481090826010914,0.21728808752238743,0.30162108646669855
2005-12-30,DM,0.21975038529311078,0.5145010934619457,0.2657485212449435
2005-12-30,EM,0.3935290685514405,0.2993546987460454,0.3071162327025141
2005-12-30,FM,0.18801478663403634,0.538628626333576,0.27335658703238763
2006-12-29,C1,0.47053886652214305,0.2223165066584082,0.30714462681944876
2006-12-29,DM,0.2186593985264738,0.520809711197796,0.2605308902757302
2006-12-29,EM,0.3797093493974217,0.3070092798350705,0.3132813707675078
2006-12-29,FM,0.18673961658602825,0.5420965399683906,0.27116384344558114
2007-12-31,C1,0.46672618959775286,0.2364199990489449,0.2968538113533022
2007-12-31,DM,0.21815323627434902,0.5314063246858072,0.25044043903984387
2007-12-31,EM,0.3831222218323824,0.3104408616762727,0.30643691649134486
2007-12-31,FM,0.18496766377072893,0.5633509096517902,0.2516814265774808
2008-12-31,C1,0.4642393717874861,0.24027227016717656,0.29548835804533735
2008-12-31,DM,0.22546554283217063,0.5256790360308091,0.24885542113702025
2008-12-31,EM,0.3908048560362328,0.3179309051592781,0.29126423880448915
2008-12-31,FM,0.20007274332254094,0.545866331088208,0.254060925589251
2009-12-31,C1,0.47298206240697394,0.220791058840766,0.3062268787522601
2009-12-31,DM,0.23603824879550822,0.5163459235584658,0.247615827646026
2009-12-31,EM,0.40988719325416,0.2959489950393443,0.2941638117064957
2009-12-31,FM,0.2027365093346252,0.546341050663238,0.2509224400021368
2010-12-31,C1,0.4639342828126327,0.22534939832359807,0.3107163188637692
2010-12-31,DM,0.2656338683491115,0.4829726929691348,0.2513934386817537
2010-12-31,EM,0.4247238776875241,0.27714542629372285,0.298130696018753
2010-12-31,FM,0.22020978312921735,0.5093309218728027,0.27045929499797994
2011-12-30,C1,0.47401735934389816,0.21765460237576648,0.3083280382803354
2011-12-30,DM,0.2635672567446594,0.48757605890000516,0.24885668435533542
2011-12-30,EM,0.4310060213403629,0.2694371723231842,0.29955680633645293
2011-12-30,FM,0.22356945925857416,0.5116012988485188,0.26482924189290713
2012-12-31,C1,0.49196528134453255,0.19322675707291542,0.31480796158255203
2012-12-31,DM,0.27154375069100445,0.4699459999116213,0.25851024939737427
2012-12-31,EM,0.45297360590167746,0.2541586476593775,0.29286774643894503
2012-12-31,FM,0.21444510896389646,0.5026670080689277,0.28288788296717576
2013-12-31,C1,0.5139104604670328,0.183412953210681,0.30267658632228617
2013-12-31,DM,0.2730052863653259,0.4724402713222861,0.25455444231238805
2013-12-31,EM,0.43059745768969726,0.24536455896833068,0.3240379833419721
2013-12-31,FM,0.22177718172516056,0.5241431290998337,0.2540796891750058
2014-12-31,C1,0.5077627317983103,0.18723141118798517,0.30500585701370453
2014-12-31,DM,0.2687957142481203,0.4762430478975783,0.2549612378543014
2014-12-31,EM,0.4299837827873012,0.2502210855802987,0.3197951316324001
2014-12-31,FM,0.22915923513162134,0.5265734288537032,0.24426733601467554
2015-12-31,C1,0.5019242166192304,0.17721447700773427,0.32086130637303534
2015-12-31,DM,0.2732544015255699,0.4662687154805674,0.2604768829938627
2015-12-31,EM,0.4286324428637758,0.24155117262936024,0.32981638450686396
2015-12-31,FM,0.2383376345140411,0.5232316085583416,0.2384307569276173
2016-12-30,C1,0.4965073443515295,0.1855627681477434,0.31792988750072715
2016-12-30,DM,0.26780438729414496,0.47687010710003774,0.2553255056058173
2016-12-30,EM,0.4246374387832034,0.2551061186307028,0.32025644258609376
2016-12-30,FM,0.23227216169989606,0.5313900711380298,0.23633776716207414
2017-12-29,C1,0.484863120933741,0.18927318499520324,0.32586369407105575
2017-12-29,DM,0.27034033302021415,0.4759263203425474,0.25373334663723845
2017-12-29,EM,0.41614446262485233,0.25342412772846523,0.33043140964668244
2017-12-29,FM,0.24203836787605132,0.5304777073518253,0.22748392477212337
2018-12-31,C1,0.4780462943744258,0.1905801438774837,0.3313735617480905
2018-12-31,DM,0.26183636621660233,0.48608684280702275,0.2520767909763749
2018-12-31,EM,0.4100304189253038,0.25624020360190064,0.3337293774727956
2018-12-31,FM,0.24274492998990238,0.5306722984667109,0.22658277154338669
2019-12-31,C1,0.48903937293984273,0.1994386327738736,0.3115219942862837
2019-12-31,DM,0.2591557403126182,0.48273093289015767,0.25811332679722415
2019-12-31,EM,0.4120004800380845,0.25900939164986964,0.3289901283120459
2019-12-31,FM,0.2476417223472749,0.520692769867366,0.23166550778535908
2020-12-31,C1,0.4755750517524366,0.2065740176694156,0.31785093057814784
2020-12-31,DM,0.27070186066633,0.4841209068488133,0.24517723248485668
2020-12-31,EM,0.41694695511711233,0.26049651152162856,0.3225565333612591
2020-12-31,FM,0.2620374996643442,0.5074205705741419,0.23054192976151391
2021-12-31,C1,0.46898746203472746,0.20877717891257205,0.32223535905270045
2021-12-31,DM,0.2720432634324643,0.47981706196616203,0.24813967460137365
2021-12-31,EM,0.4142438022474119,0.2595202376002629,0.3262359601523252
2021-12-31,FM,0.25166534920199013,0.5035678256616168,0.24476682513639306
2022-12-30,C1,0.4739702244093491,0.20697628657064696,0.3190534890200039
2022-12-30,DM,0.2602865181335264,0.48270541999013944,0.2570080618763342
2022-12-30,EM,0.4125443911998293,0.24454900339860042,0.3429066054015703
2022-12-30,FM,0.24250101698773516,0.5032331166281847,0.25426586638408016
2023-12-29,C1,0.4768033358142811,0.2111908993115,0.3120057648742189
2023-12-29,DM,0.2572587656673626,0.4880335321256277,0.25470770220700967
2023-12-29,EM,0.4333204748920473,0.24582998710634482,0.3208495380016079
2023-12-29,FM,0.2455988076734753,0.5083511265473054,0.24605006577921934
2024-12-31,C1,0.2789352448478286,0.24580227794517087,0.4752624772070005
2024-12-31,DM,0.2563815909662093,0.4135642746810109,0.33005413435277975
2024-12-31,EM,0.30974068614157924,0.26233039561829,0.42792891824013074
2024-12-31,FM,0.1435802993460955,0.4223166564608727,0.43410304419303175
